0,0,0,4,4,2, SA
4,0,0,2,4,2, SA
6,0,0,1,2,2, SA
7,0,0,1,1,2, NSW
7,1,0,1,1,2, SA
6,2,0,2,2,2, SA
0,4,0,4,4,2, SA
4,4,0,4,4,2, TAS
0,0,2,4,4,2, TAS
4,0,2,2,4,2, SA
6,0,2,1,2,2, SA
7,0,2,1,1,2, NSW
7,1,2,1,1,2, SA
6,2,2,2,2,2, SA
0,4,2,4,4,2, SA
4,4,2,4,4,2, SA
0,0,4,4,4,2, SA
4,0,4,2,4,2, SA
6,0,4,1,2,2, SA
7,0,4,1,1,2, NSW
7,1,4,1,1,2, SA
6,2,4,2,2,2, SA
0,4,4,4,4,2, SA
4,4,4,4,4,2, SA
0,0,6,4,4,2, SA
4,0,6,2,4,2, SA
6,0,6,1,2,2, SA
7,0,6,1,1,2, NSW
7,1,6,1,1,2, SA
6,2,6,2,2,2, SA
0,4,6,4,4,2, SA
4,4,6,4,4,2, SA
